no,kota,kode_wilayah,provinsi
340,Kota Palembang,16.71,Sumatera Selatan
341,Kota Palopo,73.73,Sulawesi Selatan
342,Kota Palu,72.71,Sulawesi Tengah
343,Kabupaten Pamekasan,35.28,Jawa Timur
344,Kabupaten Pandeglang,36.01,Banten
345,Kabupaten Pangandaran,32.18,Jawa Barat
346,Kabupaten Pangkajene Kepulauan,73.10,Sulawesi Selatan
347,Kota Pangkal Pinang,19.71,Kepulauan Bangka Belitung
348,Kabupaten Paniai,94.03,Papua Tengah
349,Kota Pare Pare,73.72,Sulawesi Selatan
350,Kota Pariaman,13.77,Sumatera Barat
351,Kabupaten Parigi Moutong,72.08,Sulawesi Tengah
352,Kabupaten Pasaman,13.08,Sumatera Barat
353,Kabupaten Pasaman Barat,13.12,Sumatera Barat
354,Kabupaten Pasangkayu (Mamuju Utara),76.01,Sulawesi Barat
355,Kabupaten Paser,64.01,Kalimantan Timur
356,Kabupaten Pasuruan,35.14,Jawa Timur
357,Kota Pasuruan,35.75,Jawa Timur
358,Kabupaten Pati,33.18,Jawa Tengah
359,Kota Payakumbuh,13.76,Sumatera Barat
360,Kabupaten Pegunungan Arfak,92.12,Papua Barat
361,Kabupaten Pegunungan Bintang,95.02,Papua Pegunungan
362,Kabupaten Pekalongan,33.26,Jawa Tengah
363,Kota Pekalongan,33.75,Jawa Tengah
364,Kota Pekanbaru,14.71,Riau
365,Kabupaten Pelalawan,14.05,Riau
366,Kabupaten Pemalang,33.27,Jawa Tengah
367,Kota Pematangsiantar,12.72,Sumatera Utara
368,Kabupaten Penajam Paser Utara,64.09,Kalimantan Timur
369,Kabupaten Penukal Abab Lematang Ilir,16.12,Sumatera Selatan
370,Kabupaten Pesawaran,18.09,Lampung
371,Kabupaten Pesisir Barat,18.13,Lampung
372,Kabupaten Pesisir Selatan,13.01,Sumatera Barat
373,Kabupaten Pidie,11.07,Aceh (NAD)
374,Kabupaten Pidie Jaya,11.18,Aceh (NAD)
375,Kabupaten Pinrang,73.15,Sulawesi Selatan
376,Kabupaten Polewali Mandar,76.04,Sulawesi Barat
377,Kabupaten Ponorogo,35.02,Jawa Timur
378,Kota Pontianak,61.71,Kalimantan Barat
379,Kabupaten Poso,72.02,Sulawesi Tengah
380,Kota Prabumulih,16.74,Sumatera Selatan
381,Kabupaten Pringsewu,18.10,Lampung
382,Kabupaten Probolinggo,35.13,Jawa Timur
383,Kota Probolinggo,35.74,Jawa Timur
384,Kabupaten Pulang Pisau,62.11,Kalimantan Tengah
