no,kota,kode_wilayah,provinsi
204,Kabupaten Kolaka Timur,74.11,Sulawesi Tenggara
205,Kabupaten Kolaka Utara,74.08,Sulawesi Tenggara
206,Kabupaten Konawe,74.02,Sulawesi Tenggara
207,Kabupaten Konawe Kepulauan,74.12,Sulawesi Tenggara
208,Kabupaten Konawe Selatan,74.05,Sulawesi Tenggara
209,Kabupaten Konawe Utara,74.09,Sulawesi Tenggara
210,Kabupaten Kotabaru,63.02,Kalimantan Selatan
211,Kota Kotamobagu,71.74,Sulawesi Utara
212,Kabupaten Kotawaringin Barat,62.01,Kalimantan Tengah
213,Kabupaten Kotawaringin Timur,62.02,Kalimantan Tengah
214,Kabupaten Kuantan Singingi,14.09,Riau
215,Kabupaten Kubu Raya,61.12,Kalimantan Barat
216,Kabupaten Kudus,33.19,Jawa Tengah
217,Kabupaten Kulon Progo,34.01,DI Yogyakarta
218,Kabupaten Kuningan,32.08,Jawa Barat
219,Kabupaten Kupang,53.01,Nusa Tenggara Timur (NTT)
220,Kota Kupang,53.71,Nusa Tenggara Timur (NTT)
221,Kabupaten Kutai Barat,64.07,Kalimantan Timur
222,Kabupaten Kutai Kartanegara,64.02,Kalimantan Timur
223,Kabupaten Kutai Timur,64.08,Kalimantan Timur
224,Kabupaten Labuhanbatu,12.10,Sumatera Utara
225,Kabupaten Labuhanbatu Selatan,12.22,Sumatera Utara
226,Kabupaten Labuhanbatu Utara,12.23,Sumatera Utara
227,Kabupaten Lahat,16.04,Sumatera Selatan
228,Kabupaten Lamandau,62.09,Kalimantan Tengah
